name,random_roc_auc,random_pr_auc,random_lift@50,random_p@50,tax_family_roc_auc,tax_family_pr_auc,tax_family_lift@50,tax_family_p@50,tax_genus_roc_auc,tax_genus_pr_auc,tax_genus_lift@50,tax_genus_p@50,effort_only_random_roc_auc_pt,effort_only_random_roc_auc_lo,effort_only_random_pr_auc_pt,effort_only_random_pr_auc_lo,effort_only_random_lift@50_pt,effort_only_random_lift@50_lo,effort_only_tax_family_roc_auc_pt,effort_only_tax_family_roc_auc_lo,effort_only_tax_family_pr_auc_pt,effort_only_tax_family_pr_auc_lo,effort_only_tax_family_lift@50_pt,effort_only_tax_family_lift@50_lo,effort_only_tax_genus_roc_auc_pt,effort_only_tax_genus_roc_auc_lo,effort_only_tax_genus_pr_auc_pt,effort_only_tax_genus_pr_auc_lo,effort_only_tax_genus_lift@50_pt,effort_only_tax_genus_lift@50_lo,esm15B_xgboost_random_roc_auc_pt,esm15B_xgboost_random_roc_auc_lo,esm15B_xgboost_random_pr_auc_pt,esm15B_xgboost_random_pr_auc_lo,esm15B_xgboost_random_lift@50_pt,esm15B_xgboost_random_lift@50_lo,esm15B_xgboost_tax_family_roc_auc_pt,esm15B_xgboost_tax_family_roc_auc_lo,esm15B_xgboost_tax_family_pr_auc_pt,esm15B_xgboost_tax_family_pr_auc_lo,esm15B_xgboost_tax_family_lift@50_pt,esm15B_xgboost_tax_family_lift@50_lo,esm15B_xgboost_tax_genus_roc_auc_pt,esm15B_xgboost_tax_genus_roc_auc_lo,esm15B_xgboost_tax_genus_pr_auc_pt,esm15B_xgboost_tax_genus_pr_auc_lo,esm15B_xgboost_tax_genus_lift@50_pt,esm15B_xgboost_tax_genus_lift@50_lo,A_baseline_clean_tax_family_roc_auc_pt,A_baseline_clean_tax_family_roc_auc_lo,A_baseline_clean_tax_family_pr_auc_pt,A_baseline_clean_tax_family_pr_auc_lo,A_baseline_clean_tax_family_lift@50_pt,A_baseline_clean_tax_family_lift@50_lo,A_baseline_clean_tax_genus_roc_auc_pt,A_baseline_clean_tax_genus_roc_auc_lo,A_baseline_clean_tax_genus_pr_auc_pt,A_baseline_clean_tax_genus_pr_auc_lo,A_baseline_clean_tax_genus_lift@50_pt,A_baseline_clean_tax_genus_lift@50_lo
A_baseline_clean,0.5576,0.1785,3.76,0.44,0.4875,0.1727,4.95,0.58,0.5387,0.218,3.44,0.54,-0.1384,-0.2142,-0.1371,-0.2164,-2.3908,-4.164,-0.144,-0.2222,-0.1308,-0.1996,-0.8539,-2.3255,-0.129,-0.2231,-0.1307,-0.2067,-0.8913,-2.2,-0.3602,-0.4078,-0.5569,-0.6553,-4.6108,-6.9455,-0.2698,-0.3806,-0.12,-0.1923,0.1708,-2.0884,-0.2774,-0.4046,-0.3539,-0.5307,-2.5467,-3.9206,,,,,,,,,,,,
A_fusion_full,0.9417,0.7986,8.37,0.98,0.8075,0.3919,6.15,0.72,0.8571,0.6291,6.37,1.0,0.2458,0.1256,0.483,0.289,2.22,0.5265,0.176,0.0229,0.0883,0.0257,0.3415,-0.856,0.1893,0.0216,0.2804,0.0279,2.0374,-0.1547,0.0239,0.0148,0.0632,0.0304,0.0,-0.2023,0.0502,0.0236,0.0992,0.0385,1.3662,-0.4414,0.0409,0.021,0.0572,0.0166,0.382,0.0,,,,,,,,,,,,
A_fusion_clean,0.926,0.7492,8.37,0.98,0.7787,0.3183,5.29,0.62,0.8188,0.5724,6.24,0.98,0.23,0.1035,0.4336,0.2033,2.22,0.2253,0.1472,-0.0298,0.0147,-0.09,-0.5123,-2.6263,0.151,-0.0378,0.2237,-0.061,1.91,-0.6133,0.0082,0.0018,0.0137,0.0023,0.0,-0.6416,0.0214,-0.0147,0.0256,-0.0376,0.5123,-1.8091,0.0026,-0.0146,0.0005,-0.0252,0.2547,0.0,,,,,,,,,,,,
SMOKE_clean,0.5576,0.1785,3.76,0.44,0.4875,0.1727,4.95,0.58,0.5387,0.218,3.44,0.54,,,,,,,-0.144,-0.2222,-0.1308,-0.1996,-0.8539,-2.3255,-0.129,-0.2231,-0.1307,-0.2067,-0.8913,-2.2,,,,,,,-0.2698,-0.3806,-0.12,-0.1923,0.1708,-2.0884,-0.2774,-0.4046,-0.3539,-0.5307,-2.5467,-3.9206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_baseline_clean,0.5576,0.1785,3.76,0.44,0.4875,0.1727,4.95,0.58,0.5387,0.218,3.44,0.54,,,,,,,-0.144,-0.2222,-0.1308,-0.1996,-0.8539,-2.3255,-0.129,-0.2231,-0.1307,-0.2067,-0.8913,-2.2,,,,,,,-0.2698,-0.3806,-0.12,-0.1923,0.1708,-2.0884,-0.2774,-0.4046,-0.3539,-0.5307,-2.5467,-3.9206,,,,,,,,,,,,
A_baseline_clean,0.5576,0.1785,3.76,0.44,0.4875,0.1727,4.95,0.58,0.5387,0.218,3.44,0.54,,,,,,,-0.144,-0.2222,-0.1308,-0.1996,-0.8539,-2.3255,-0.129,-0.2231,-0.1307,-0.2067,-0.8913,-2.2,,,,,,,-0.2698,-0.3806,-0.12,-0.1923,0.1708,-2.0884,-0.2774,-0.4046,-0.3539,-0.5307,-2.5467,-3.9206,,,,,,,,,,,,
A_baseline_clean_lr,0.5574,0.1877,5.29,0.62,0.4875,0.1758,5.29,0.62,0.5387,0.2202,3.57,0.56,,,,,,,-0.144,-0.2221,-0.1278,-0.1972,-0.5123,-2.1193,-0.129,-0.2231,-0.1285,-0.206,-0.764,-2.1077,,,,,,,-0.2698,-0.3805,-0.1169,-0.1901,0.5123,-2.0069,-0.2774,-0.4046,-0.3516,-0.5288,-2.4194,-3.8787,0.0,-0.0001,0.0031,-0.0024,0.3415,-0.7563,0.0,-0.0,0.0022,-0.001,0.1273,-0.2494
A_fusion_full,0.9417,0.7986,8.37,0.98,0.8075,0.3919,6.15,0.72,0.8571,0.6291,6.37,1.0,,,,,,,0.176,0.0229,0.0883,0.0257,0.3415,-0.856,0.1893,0.0216,0.2804,0.0279,2.0374,-0.1547,,,,,,,0.0502,0.0236,0.0992,0.0385,1.3662,-0.4414,0.0409,0.021,0.0572,0.0166,0.382,0.0,0.32,0.1842,0.2191,0.1725,1.1954,0.0,0.3183,0.1865,0.4111,0.1989,2.9287,0.9185
A_fusion_clean,0.926,0.7492,8.37,0.98,0.7787,0.3183,5.29,0.62,0.8188,0.5724,6.24,0.98,,,,,,,0.1472,-0.0298,0.0147,-0.09,-0.5123,-2.6263,0.151,-0.0378,0.2237,-0.061,1.91,-0.6133,,,,,,,0.0214,-0.0147,0.0256,-0.0376,0.5123,-1.8091,0.0026,-0.0146,0.0005,-0.0252,0.2547,0.0,0.2912,0.1337,0.1456,0.0839,0.3415,-1.4163,0.2801,0.1357,0.3544,0.1202,2.8014,0.4449
A_deconf_full,0.9323,0.77,8.37,0.98,0.8067,0.4039,6.83,0.8,0.847,0.5995,6.24,0.98,,,,,,,0.1752,0.0246,0.1004,0.0428,1.0246,-0.354,0.1793,0.0227,0.2508,0.0248,1.91,-0.4213,,,,,,,0.0494,0.0056,0.1112,0.0462,2.0492,0.2,0.0309,0.0009,0.0276,-0.0329,0.2547,-0.148,0.3192,0.1856,0.2312,0.1768,1.8785,0.315,0.3083,0.1871,0.3815,0.1924,2.8014,0.5634
A_deconf_clean,0.9134,0.7263,8.37,0.98,0.774,0.3511,6.15,0.72,0.8064,0.5543,6.11,0.96,,,,,,,0.1425,-0.023,0.0476,-0.0391,0.3415,-0.996,0.1386,-0.0589,0.2056,-0.0634,1.7827,-0.9209,,,,,,,0.0167,-0.0266,0.0584,-0.0135,1.3662,-0.6923,-0.0098,-0.0359,-0.0176,-0.052,0.1273,-0.1351,0.2865,0.1375,0.1784,0.1304,1.1954,-0.134,0.2676,0.1194,0.3363,0.1213,2.674,0.151
E_deconf_fusion,0.9279,0.754,8.2,0.96,0.7978,0.3577,6.32,0.74,0.8265,0.5821,6.24,0.98,,,,,,,0.1663,-0.0074,0.0541,-0.0381,0.5123,-1.1782,0.1587,-0.0323,0.2334,-0.0446,1.91,-0.5508,,,,,,,0.0405,0.0013,0.065,0.0023,1.5369,-0.7177,0.0103,-0.01,0.0103,-0.02,0.2547,0.0,0.3103,0.1565,0.185,0.1335,1.3662,-0.2046,0.2878,0.1452,0.3641,0.137,2.8014,0.6038
B_genome_only,0.8988,0.7017,8.37,0.98,0.7605,0.2906,4.44,0.52,0.7917,0.5402,5.98,0.94,,,,,,,0.129,-0.0411,-0.013,-0.125,-1.3662,-3.3131,0.124,-0.0707,0.1915,-0.1202,1.6554,-2.3826,,,,,,,0.0032,-0.019,-0.0021,-0.0505,-0.3415,-1.8338,-0.0244,-0.0473,-0.0317,-0.0596,0.0,-0.5645,0.273,0.1205,0.1178,0.0493,-0.5123,-2.4284,0.253,0.1017,0.3222,0.0702,2.5467,-1.2018
